## Torsion are defined with the following atomIDs:
# dihed1: ai= 21 aj= 20 ak= 19 al= 15
# dihed2: ai= 20 aj= 19 ak= 15 al= 16
# dihed3: ai= 14 aj= 13 ak= 11 al= 1
# dihed4: ai= 13 aj= 11 ak= 1 al= 2
# dihed5: ai= 6 aj= 5 ak= 28 al= 29
# dihed6: ai= 10 aj= 9 ak= 30 al= 36
# dihed7: ai= 18 aj= 17 ak= 25 al= 26
# dihed8: ai= 17 aj= 25 ak= 26 al= 27
# dihed9: ai= 15 aj= 16 ak= 22 al= 23
# dihed10: ai= 16 aj= 22 ak= 23 al= 24
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5   dihed6   dihed7   dihed8   dihed9  dihed10
134  167.581   60.398 -127.555   58.664  151.947  148.430   70.984  146.557  118.760  -73.730
135  161.316   45.010 -118.792   50.155  161.124 -130.626   42.118  166.965  127.548  -50.484
136 -124.439  149.613 -133.211   60.320  170.018  145.315    5.317  167.337  111.141  -66.692
137  154.254   19.383 -119.414   47.255  177.327 -139.354   14.749  155.877  111.807  -94.210
138  171.000    2.966 -130.900   61.943 -146.008  114.464   48.581  160.014  122.770  -57.638
139  156.270   57.095 -126.199   52.728  178.510  135.397   10.128 -178.432  130.365  -88.638
140 -156.388  -13.350 -149.195   58.393 -172.821 -137.565   84.271  152.149  126.905  -48.664
141  155.736   41.899 -125.902   43.265 -179.397 -132.763   61.831  154.946  118.407 -107.900
142 -156.079   -9.366 -139.303   62.666  174.994 -137.954  121.058 -112.743  123.719  -61.869
143  153.596   25.666 -126.322   62.346  172.977 -138.690   40.509  166.392  114.756 -144.238
144  168.636   20.474 -131.453   51.457 -151.593  -28.153   31.876  167.536  115.509  -80.927
145  154.256   13.935 -142.309   51.125  168.297  -40.383   91.161  166.982  115.691  -86.266
146  158.823   65.725 -127.818   53.686  174.064  -37.130   37.200  171.888  102.456  -80.682
147  167.418   15.873 -130.500   60.583  177.874  -32.653   30.480  163.558  116.072  -59.802
148 -158.408  123.742 -129.544   56.022  177.019  -24.447  122.113  164.006  115.306  -62.011
149  160.920   61.483 -134.391   51.689 -159.498  154.206  127.605 -152.796   96.246   82.998
150  159.748   32.069 -121.128   41.984 -157.116 -145.196  155.472 -167.801   63.984   82.526
151  152.574   41.177 -115.259   39.949 -165.264  158.929   19.295  168.489  117.979  -95.504
152  177.057  175.832 -144.048   48.660  162.592 -157.182  127.883  -57.831   81.581  116.542
153  152.893   22.508 -136.875   48.747 -177.099  118.272   48.818  179.579  124.073  -87.908
154  162.461   59.699 -136.017   56.713 -156.337  138.970   19.814  176.070  126.003  -82.122
155  137.342   42.945 -117.575   44.179 -175.253  138.748   29.104  175.826  113.563  -86.695
156  166.239   39.443 -132.547   63.647 -168.758  153.122   27.232  163.720  134.067  122.759
