## Torsion are defined with the following atomIDs:
# dihed1: ai= 23 aj= 22 ak= 18 al= 19
# dihed2: ai= 17 aj= 16 ak= 14 al= 1
# dihed3: ai= 16 aj= 14 ak= 1 al= 6
# dihed4: ai= 11 aj= 12 ak= 28 al= 34
# dihed5: ai= 21 aj= 20 ak= 26 al= 27
# dihed6: ai= 18 aj= 19 ak= 24 al= 25
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5   dihed6
237 -175.135  145.255  179.024  -67.242   52.576   74.662
238 -170.315  151.654  179.920  -69.759    4.768  142.209
239 -169.341  158.430  172.578  -69.514   -1.565   93.357
240 -166.122  161.045  165.436  -61.539   21.948   62.848
241  164.303  154.636  163.579  -68.692   45.823   16.695
242  165.035  152.407 -179.845  -79.502  -22.806   93.168
243 -161.926  150.132  172.579  -80.697   42.057   28.715
244  168.524  165.503 -176.665  -76.640   -9.315   49.712
245  153.675  153.543  173.802  -73.321   19.676   43.541
246 -159.233  162.447  167.837  -69.984   -3.363   32.706
247 -175.772  146.753  171.757  -88.528   -9.094   62.685
248  171.815  149.009 -177.867  -67.677   42.192   55.347
249 -177.298  164.699  167.872  -79.940  -37.561   38.242
250  164.748  142.458 -179.308  -78.702   13.108   98.638
251 -173.191  145.604 -171.899  -81.194   -6.507  103.338
252  156.774  145.980  165.898  -87.217    6.325   78.753
253  173.412  155.380 -177.051  -84.194   -3.258   87.979
254  174.561  167.451  175.994  -79.611    7.870   65.161
255  176.887  147.934 -177.710  -73.632   14.819   63.367
256  179.006  145.747 -168.843  -78.471   55.293   60.914
257  139.633  165.240  169.001  -61.659  -32.824  103.134
258  174.078  160.277  173.535  -84.976  -39.510  108.281
259 -164.870  155.868  166.194  -90.392   -3.538   53.992
260 -164.096  130.605  177.835  -65.813   -1.370   54.704
261 -171.150  159.768  166.857  -79.019   -3.690   52.345
262 -158.974  143.645  173.896  -81.279   33.483   65.318
263 -156.245  136.306  172.237  -87.525   13.612   50.003
264 -167.451  140.407  172.793  -77.909   34.150   53.113
265  178.166  150.271  173.243  -87.246   -5.239   38.412
266 -160.971  151.389  175.952  -75.701   11.213   95.540
267 -175.240  150.447  167.614  -68.278   -6.146   50.287
268 -167.543  154.520  161.714  -71.905    4.584   88.955
269 -164.971  148.727  166.622  -78.214   34.761   78.225
270 -157.368  160.632  174.285  -88.881    1.296  107.597
271  171.883  155.785  177.270  -76.577   15.224   67.135
272  146.404  165.881 -177.842  -86.278  -11.109   32.527
273 -165.263  151.982 -179.617  -89.360   -6.809   46.886
274  175.645  164.921  159.086  -72.895  -19.492   39.315
275 -139.826  153.165  173.456  -83.345   -3.307   53.318
276 -167.262  141.528 -177.996  -91.491   50.244   69.588
277  179.768  148.821  166.268  -87.990   50.594  110.860
278 -138.472  152.333  175.161  -72.643   41.632   55.614
279  172.238  146.996  171.743  -78.416   -5.165   51.078
280 -152.982  157.837  170.201  -81.372   11.362   52.142
281 -162.708  142.812  165.103 -107.421   14.943   90.775
282 -129.365  152.115  151.940  -89.127   35.139   71.499
283 -137.410  159.460  164.322  -97.968   24.335   29.109
284 -164.464  142.424 -179.099  -64.907   25.803   13.256
285  151.697  159.787  169.639  -67.839   37.861   37.088
286  169.064  174.996  168.436  -64.942   13.842   62.388
287 -149.244  157.093  170.950  -82.881  -22.971   34.306
288  172.457  153.146  162.540  -77.059   14.023   39.108
289  167.571  151.572  168.938  -88.631  -14.806   54.680
290  177.616  138.387  179.748  -74.771   13.918   63.597
291 -148.664  152.391  173.556  -88.316    3.989   80.902
292 -168.935  150.096  179.712  -53.961   11.332  108.291
293 -155.311  155.366  168.931  -80.747   14.377   47.459
294 -176.479  151.421 -176.334  -71.342   25.477   59.791
