## Torsion are defined with the following atomIDs:
# dihed1: ai= 13335 aj= 13334 ak= 13330 al= 13331
# dihed2: ai= 13329 aj= 13328 ak= 13326 al= 13313
# dihed3: ai= 13328 aj= 13326 ak= 13313 al= 13318
# dihed4: ai= 13323 aj= 13324 ak= 13340 al= 13341
# dihed5: ai= 13333 aj= 13332 ak= 13338 al= 13339
# dihed6: ai= 13330 aj= 13331 ak= 13336 al= 13337
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5   dihed6
320 -102.575 -104.306   62.258 -138.861    8.740  -46.885
321  -80.514 -125.478   74.394 -125.860   10.273  -20.926
322   43.101 -144.424   75.970 -133.276   20.252   65.277
323   33.330  157.701   95.607 -131.964    1.665   78.443
324   48.930  165.359   88.991 -116.311  -30.135  111.091
325   33.198  157.021   99.505 -135.339  -45.601  117.372
326   30.601  158.572   84.598  -82.628  -45.071  131.281
327   10.325  145.689   93.205 -120.992  -37.877  127.104
328   29.758  152.027  108.027 -117.027  -59.104  109.640
329   26.664  169.618   83.705 -120.529  -41.724  117.597
330   78.613  163.671   98.364 -122.548  -84.732   82.019
331   47.491  153.875   99.199 -108.023   27.994   81.002
332   81.761  169.468   83.900 -136.124   -6.650  128.912
333   52.214 -176.070   73.293 -136.109  -15.967  117.720
334   29.756  153.971   96.287 -123.301  -48.114   94.801
335   49.994  164.064   83.971 -114.587   42.356   99.821
336   54.384 -174.925   72.896 -109.070  -18.036  109.048
337   60.333  176.338   71.754 -136.788   10.026  123.196
338   55.598  154.582   89.717 -118.191  -37.096  126.831
339   56.221 -178.705   82.173 -122.528   -0.769  103.091
340   14.090  175.667   78.442 -124.418  -16.942  101.698
341   27.734  179.338   77.034 -114.101  -15.597  136.612
342   63.527  174.047   85.776 -127.273  -44.311   92.180
343   70.775  175.676   77.145 -114.151  -18.102  134.166
344   54.854 -163.753   69.954 -117.436  152.437   39.079
345   30.761 -175.806   75.445 -106.259  139.090   86.058
346   62.047 -152.950   71.323 -121.385  141.624   92.183
347   66.479 -177.266   72.194 -128.755   22.071   58.694
348   36.514 -162.371   65.762 -134.897   -4.502   79.128
349   31.850 -138.043   74.454 -126.360   11.273   76.216
350   64.607 -163.816   74.566 -111.159   33.920   62.574
351   58.786 -153.161   76.311 -128.360   32.710   63.199
352   48.173 -137.169   70.702 -121.287   47.334   82.589
353   33.962 -161.019   73.991 -118.143  140.816   78.443
354   49.727 -149.651   97.470 -110.935   25.945   66.878
355   44.790 -142.284   68.819 -144.661   17.206   86.484
356   24.197 -146.540   66.672 -125.782   -6.481  115.614
357   30.405 -154.174   70.704 -109.410    4.799   96.610
358   35.985 -161.746   70.442 -107.976  -20.813  122.134
359   44.505 -175.208   79.264 -138.680    7.715   78.701
360   43.149 -149.420   60.618 -125.436   -1.286  103.905
361   24.280 -138.933   76.136 -115.842  -43.968  130.377
362 -157.798 -175.221   75.955 -147.698   84.270  154.848
363   61.886 -179.638   78.439 -115.243  116.486  111.803
364  166.877  179.377   81.059 -120.841  119.027  120.296
365 -177.944 -178.295   79.353 -115.099  114.573  137.083
366  167.146  172.600   86.229 -118.339  117.919  102.502
367  154.769 -178.280   74.284 -113.871   98.853  142.537
368  154.445  162.794   96.656 -102.401  147.829  110.029
369  162.473  179.497   76.657 -117.774   11.445  110.834
370  131.782  179.569   82.357 -134.230   85.405   73.098
371  168.703 -174.090   74.622  -94.310  109.739  122.609
372 -127.716 -176.649   88.285 -108.419  132.826  104.851
373  164.525 -169.938   64.816 -115.961   98.795  138.614
374  172.229 -174.194   78.770 -116.484   97.845  143.358
375   58.371 -166.988   71.950 -127.921   38.924   81.586
376  147.311 -165.758   68.819 -124.366  101.021  124.670
377  177.080 -167.163   78.102 -109.744    8.814  107.999
378  133.991 -159.874   68.447 -139.514  -18.315  111.771
379  138.819 -157.776   66.659 -141.889   53.048  137.435
380  170.412 -172.778   84.143 -113.657  101.792  126.491
381   67.054 -174.277   74.986 -123.407   19.364 -118.167
382   38.720 -151.273   94.201 -116.032  -52.431  105.814
383   60.311 -172.977   64.442 -116.526    7.623 -115.558
384  128.112 -151.716   54.548 -104.154  123.426   35.214
385   26.338 -164.644   82.933 -109.207   -8.572 -103.726
386  -87.999 -166.630   81.116 -135.638   64.648 -119.138
