## Torsion are defined with the following atomIDs:
# dihed1: ai= 8399 aj= 8398 ak= 8397 al= 8393
# dihed2: ai= 8398 aj= 8397 ak= 8393 al= 8394
# dihed3: ai= 8392 aj= 8391 ak= 8389 al= 8379
# dihed4: ai= 8391 aj= 8389 ak= 8379 al= 8384
# dihed5: ai= 8382 aj= 8383 ak= 8406 al= 8407
# dihed6: ai= 8386 aj= 8387 ak= 8408 al= 8414
# dihed7: ai= 8396 aj= 8395 ak= 8403 al= 8404
# dihed8: ai= 8395 aj= 8403 ak= 8404 al= 8405
# dihed9: ai= 8393 aj= 8394 ak= 8400 al= 8401
# dihed10: ai= 8394 aj= 8400 ak= 8401 al= 8402
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5   dihed6   dihed7   dihed8   dihed9  dihed10
146  178.890  177.242 -144.947 -108.893 -148.441  138.758   67.087 -127.654  -68.920 -114.932
147  152.098 -172.479 -146.513 -114.724    0.288  138.731    9.500   93.942  -48.847 -131.425
148 -179.203 -177.823 -148.296 -109.952    8.697  123.297   20.206   72.948  -44.789 -128.563
149  179.031  153.226 -140.247  -95.271   19.194  154.114   28.689  152.510  -52.588 -156.501
150  137.210 -175.923 -142.048 -112.412  -22.072  154.942   20.858   68.554  -94.842  173.356
151  169.238 -174.987 -128.929 -124.229  -18.202  148.272   48.550   67.283  -38.076 -151.421
152  -92.727 -177.985 -156.754 -104.184   18.680  150.077   97.646  -82.435  -45.239 -142.716
153 -166.843  166.022 -141.743 -120.730  -10.282  134.164    6.911  174.163  -42.286 -153.578
154 -176.102 -170.607 -137.162 -117.033    6.004  148.977   28.179   61.099  -46.648 -112.349
155 -168.166  177.604 -147.309 -116.190   32.731  127.495   30.302   77.416  -45.308 -147.216
156 -164.989  141.397 -136.873 -103.372   18.900  131.915   21.184   63.893  -55.995 -143.889
157  169.358 -129.081 -154.747 -119.687   -4.357  153.768   44.594   69.582  -38.888 -146.461
158  165.864  161.896 -146.932  -98.397    2.058  170.402   43.171   56.126 -111.898  146.310
159 -160.085  157.957 -146.798 -112.382   43.935  156.341   51.143   88.320  -68.556 -159.658
160  162.277  176.923 -158.025 -107.036   36.200  138.750   41.017   71.254  -56.677 -124.815
161 -157.807  155.596 -144.115 -122.741   21.082  155.613   22.781   64.744  -47.937 -132.598
162  158.242 -171.586 -152.576 -132.384   -1.483  166.153   61.841   93.306  -20.647 -156.376
163  177.421 -171.645 -133.134 -114.014   -9.734  142.409   42.755   77.067  -80.376 -157.079
164 -172.017  157.594 -145.527 -116.264  -34.846  159.084  103.138 -147.465  -36.398 -139.813
165 -179.922  163.020 -157.755 -117.381    8.937  157.839  120.590 -100.647  -52.481 -153.252
166 -178.077  158.736 -143.002 -120.654   26.575  146.447   95.604  -72.352  -47.051 -138.170
167  172.543 -178.840 -130.258 -133.949   24.152  144.058   24.309   69.432  -63.979 -115.314
168 -171.529  161.862 -137.936 -105.276   42.418  148.118   41.845  163.739  -68.438 -107.252
169 -154.245  137.296 -144.649 -104.616  -13.094  144.752   26.643  149.750 -126.127  130.153
170  -96.448    8.281 -148.200  -95.725   -1.577  152.468   27.360  132.824 -163.240  162.705
171 -169.406  144.300 -127.219 -113.166   12.485  148.854    9.164  159.356 -146.367  143.834
172  161.835 -166.160 -146.023 -118.713   -5.902  121.567   57.635  138.993  -43.010 -132.116
173  111.091  140.613 -135.880 -121.606  -17.974  109.039   -0.034 -177.165  128.514  119.876
174   87.497  165.335 -143.113 -122.218   -9.747  162.788   18.133  169.653  162.707 -165.529
175   98.056  165.764 -132.233 -125.664  -40.265  137.306   12.562  167.360 -172.039 -174.894
176   97.964  153.017 -153.619 -117.867  -37.559  137.798   48.228  110.399  172.457  178.510
177   89.825  160.720 -135.002 -121.372  -59.571  152.025   29.677  144.707  179.221 -171.712
178 -164.147  160.005 -134.547 -127.829    7.335  130.652   30.928  128.233  159.110 -176.849
179 -161.351  166.336 -134.389 -108.556   19.247  136.558    7.498 -179.874  141.823 -155.958
180 -175.027 -176.461 -140.797 -127.308  -50.785  114.926   52.378  124.124 -166.698 -177.301
181 -173.110  150.555 -148.927 -131.930  -39.297  110.826   14.519  170.044 -176.585  178.331
182 -116.292   31.905 -146.916 -129.344  -32.069   88.452   55.723  170.694  162.345  173.986
183 -159.726  165.595 -146.106 -132.366  -17.157  104.870  107.649  -78.814   -8.474 -161.879
184 -175.467  174.148 -142.253 -120.781  -28.224   95.258   22.684  147.113  -65.131 -127.883
185 -172.868  169.893 -135.125 -127.156  -28.813   94.330   16.658  145.479  -38.177 -146.676
186 -173.502 -174.775 -140.053 -122.725  -28.721  120.010    7.885  149.177  -17.463 -147.474
187 -165.103  173.834 -151.051 -125.008  -28.467  116.496   89.220 -101.009  -51.326 -126.266
188 -145.306  150.800 -131.449 -124.891  -46.413  101.894  112.334 -117.198  -59.930 -146.733
189 -148.520  142.199 -139.238 -122.837  -44.891  134.183   30.474  148.172    1.150 -171.482
190 -169.222  137.415 -141.905 -114.950   -5.788  122.932    6.179   79.593  -46.805 -138.676
191  177.331  155.476 -154.819  -95.328    1.790  150.828   34.820  138.658  -93.919  166.180
192 -166.494  154.509 -146.459 -112.985  -20.396  161.926   46.213  124.665  -79.817 -127.377
193 -136.280  166.413 -144.932 -126.080  -12.839  159.956   85.387  -83.573  -72.382 -126.947
194  177.522  179.198 -157.212 -100.840  -25.521  134.828   42.645   74.542 -106.035  169.207
195  171.144  170.233 -155.989 -108.740   -2.443  151.340   42.322  153.948  -71.635 -139.652
196 -150.565  179.111 -164.374 -104.169   -3.884  156.754   68.428   99.309  -38.281 -141.706
197 -172.925  173.500 -157.067 -118.952   -1.452  141.905   85.408 -105.679  -24.999 -144.814
198 -170.838 -170.313 -161.618  -99.430   16.109  155.800   95.321  -95.518  -26.566 -149.337
199 -170.673  163.239 -159.009 -103.021  -31.923  156.697   59.420  103.175  -40.011 -145.095
200  175.299 -165.211 -163.005  -91.526   -4.050  158.906   67.415   93.521  -33.566 -151.641
201 -149.773  160.640 -165.241 -109.957  -29.071  138.978   85.386  -94.504  -25.809 -158.538
202 -166.236  160.456 -149.663 -105.352   -7.214  153.859   16.215  134.522  -88.054 -171.483
203 -177.233  150.158 -171.431  -95.340    9.515  138.136  130.229 -135.254  -43.402 -141.669
204  171.252 -178.915 -155.168 -122.639    1.431 -168.918  108.490 -121.520  -28.230 -149.833
205 -178.713  145.959 -143.213 -100.857    2.819  151.066   36.774  161.426 -124.204  132.252
206 -161.487  152.841 -148.721 -110.250    9.646  139.191   19.585  153.165  -55.351 -140.621
207 -158.207  160.351 -166.067 -106.924  -19.999  142.255   63.993   77.634  -36.786 -139.517
208  171.376 -170.058 -156.286 -111.664   15.163  152.930   32.920  138.201  -46.927 -145.283
209  177.250 -175.685 -168.683 -105.422   -7.053  152.128   93.307 -112.678  -33.033 -141.807
210 -168.376  143.651 -152.005 -105.412  -16.599  159.709   50.310  146.631  -52.393 -141.204
211  158.151   14.025 -146.981 -103.651  -10.535  162.329   37.647  133.497 -152.653  157.888
212  179.317  -11.187 -151.134 -101.148    3.454  150.621   19.023  140.788 -100.383  178.244
213  160.544   30.597 -157.980  -84.985  -44.465  140.344   28.249  159.014 -167.088  155.534
214  152.216   39.654 -158.004  -88.479   -8.059  138.598   65.774  166.308 -131.032  151.824
215 -147.881  146.225 -156.707  -72.802 -173.396  144.080  108.889  -97.487  -29.313 -152.458
