  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      237        1.362        5.589            0      485.472       39.492       70.831
      238        1.480        5.568            0      485.050       34.987       64.542
      239        1.557        5.591            0      483.843       39.143       72.527
      240        1.442        5.363            0      485.489       48.501       69.873
      241        1.496        5.599            0      482.004       37.680       79.330
      242        1.303        5.693            0      483.433       32.624       71.637
      243        1.332        5.587            0      484.920       27.433       70.568
      244        1.543        5.470            0      483.301       31.380       70.917
      245        1.436        5.476            0      482.139       18.828       68.178
      246        1.464        5.434            0      484.173       24.708       66.371
      247        1.441        5.363            0      482.060       18.091       64.625
      248        1.517        5.584            0      488.544       19.752       67.552
      249        1.607        5.472            0      485.700       27.351       65.047
      250        1.416        5.435            0      481.883       24.420       62.577
      251        1.554        5.436            0      486.416       19.853       67.635
      252        1.413        5.661            0      488.907       28.943       64.305
      253        1.546        5.633            0      487.526       47.470       76.697
      254        1.367        5.465            0      488.917       15.523       65.045
      255        1.341        5.359            0      480.099       31.687       77.877
      256        1.407        5.439            0      478.459       21.741       71.807
      257        1.516        5.515            0      486.143       17.136       68.621
      258        1.640        5.421            0      480.020       21.555       78.652
      259        1.509        5.407            0      476.984       13.166       76.506
      260        1.528        5.426            0      479.815       18.522       69.865
      261        1.512        5.521            0      483.733       12.329       75.511
      262        1.500        5.607            0      482.276       17.431       71.442
      263        1.576        5.384            0      483.567       22.223       68.819
      264        1.639        5.366            0      469.818       17.868       82.148
      265        1.544        5.471            0      480.494       14.036       67.391
      266        1.568        5.511            0      484.381       23.716       66.938
      267        1.528        5.512            0      478.916       13.182       72.991
      268        1.635        5.454            0      485.562       35.260       64.133
      269        1.401        5.612            0      485.521       37.477       66.402
      270        1.433        5.384            0      483.932       26.023       63.992
      271        1.434        5.545            0      485.064       19.420       71.650
      272        1.455        5.484            0      483.880       24.892       66.219
      273        1.516        5.388            0      474.055       21.872       81.681
      274        1.517        5.354            0      475.092       26.515       72.054
      275        1.591        5.417            0      482.690       29.450       66.176
      276        1.558        5.515            0      487.483       34.954       65.572
      277        1.458        5.436            0      482.679       42.490       66.822
      278        1.544        5.520            0      487.114       42.956       67.776
      279        1.568        5.453            0      475.237       27.737       72.282
      280        1.497        5.393            0      482.971       26.668       68.361
      281        1.409        5.309            0      481.616       30.519       64.154
      282        1.452        5.347            0      488.135       33.331       64.413
      283        1.566        5.326            0      477.597       26.491       73.120
      284        1.662        5.307            0      474.046       50.495       69.816
      285        1.483        5.492            0      478.109       30.821       77.782
      286        1.528        5.479            0      478.385       37.267       76.826
      287        1.444        5.493            0      484.156       30.584       72.718
      288        1.565        5.577            0      489.285       31.732       71.868
      289        1.503        5.499            0      480.051       23.780       72.720
      290        1.472        5.594            0      480.969       43.797       79.041
      291        1.346        5.417            0      486.844       36.058       65.769
      292        1.383        5.456            0      477.251       34.872       73.943
      293        1.430        5.476            0      478.295       37.013       77.430
      294        1.487        5.376            0      481.180       30.082       66.168
      295        1.388        5.409            0      478.913       38.126       78.126
      296        1.408        5.494            0      486.794       38.835       63.596
      297        1.395        5.416            0      475.752       22.782       80.180
      298        1.454        5.361            0      482.065       24.408       71.759
      299        1.374        5.478            0      481.889       34.432       72.817
      300        1.316        5.443            0      479.477       42.466       80.510
      301        1.276        5.534            0      484.797       42.820       75.987
      302        1.361        5.434            0      482.231       27.305       70.542
      303        1.308        5.586            0      479.530       31.873       78.320
      304        1.458        5.554            0      485.224       43.067       72.752
      305        1.381        5.512            0      488.285       37.857       71.441
      306        1.431        5.462            0      480.923       34.879       73.529
      307        1.537        5.329            0      476.418       33.989       79.671
      308        1.511        5.410            0      478.501       29.548       71.962
      309        1.444        5.461            0      484.856       32.145       70.053
      310        1.451        5.346            0      482.355       26.389       72.282
      311        1.462        5.358            0      480.817       38.359       68.582
      312        1.497        5.428            0      484.000       33.314       72.527
      313        1.467        5.448            0      482.246       54.574       77.330
      314        1.285        5.562            0      482.126       44.198       75.740
      315        1.201        5.466            0      486.511       48.509       73.937
      316        1.349        5.466            0      485.690       33.050       69.992
      317        1.412        5.555            0      487.288       31.536       75.480
      318        1.515        5.493            0      484.218       51.415       68.676
      319        1.491        5.512            0      479.445       31.288       72.268
